SampID,Cruise,Compound,Fragment_mz,Experiment,Treatment,Replicate,Peak_Area
230808_Smp_TN397_UKH1_10nM_B,TN397,D3-Homarine,78.0399,UKH1,10nM,B,120822528
230808_Smp_TN397_UKH1_10nM_C,TN397,D3-Homarine,78.0399,UKH1,10nM,C,152260480
230808_Smp_TN397_UKH1_50nM_A,TN397,D3-Homarine,78.0399,UKH1,50nM,A,195477024
230808_Smp_TN397_UKH1_50nM_B,TN397,D3-Homarine,78.0399,UKH1,50nM,B,161738512
230808_Smp_TN397_UKH1_50nM_C,TN397,D3-Homarine,78.0399,UKH1,50nM,C,266607056
230808_Smp_TN397_UKH1_200nM_A,TN397,D3-Homarine,78.0399,UKH1,200nM,A,441038368
230808_Smp_TN397_UKH1_200nM_B,TN397,D3-Homarine,78.0399,UKH1,200nM,B,536815520
230808_Smp_TN397_UKH1_200nM_C,TN397,D3-Homarine,78.0399,UKH1,200nM,C,494037184
230808_Smp_TN397_UKH1_1000nM_A,TN397,D3-Homarine,78.0399,UKH1,1000nM,A,915858432
230808_Smp_TN397_UKH1_1000nM_B,TN397,D3-Homarine,78.0399,UKH1,1000nM,B,762202112
230808_Smp_TN397_UKH1_1000nM_C,TN397,D3-Homarine,78.0399,UKH1,1000nM,C,819295936
230808_Smp_TN397_UKH2_0nM_A,TN397,D3-Homarine,78.0399,UKH2,0nM,A,173022
230808_Smp_TN397_UKH2_0nM_B,TN397,D3-Homarine,78.0399,UKH2,0nM,B,204605
230808_Smp_TN397_UKH2_0nM_Blk,TN397,D3-Homarine,78.0399,UKH2,0nM,Blk,721438
230808_Smp_TN397_UKH2_0nM_C,TN397,D3-Homarine,78.0399,UKH2,0nM,C,93329
230808_Smp_TN397_UKH2_2nM_A,TN397,D3-Homarine,78.0399,UKH2,2nM,A,25774408
230808_Smp_TN397_UKH2_2nM_B,TN397,D3-Homarine,78.0399,UKH2,2nM,B,15633825
230808_Smp_TN397_UKH2_2nM_C,TN397,D3-Homarine,78.0399,UKH2,2nM,C,20962082
230808_Smp_TN397_UKH2_5nM_A,TN397,D3-Homarine,78.0399,UKH2,5nM,A,48146016
230808_Smp_TN397_UKH2_5nM_B,TN397,D3-Homarine,78.0399,UKH2,5nM,B,37232904
230808_Smp_TN397_UKH2_5nM_Blk,TN397,D3-Homarine,78.0399,UKH2,5nM,Blk,1604881
230808_Smp_TN397_UKH2_5nM_C,TN397,D3-Homarine,78.0399,UKH2,5nM,C,37674596
230808_Smp_TN397_UKH2_10nM_A,TN397,D3-Homarine,78.0399,UKH2,10nM,A,71686648
230808_Smp_TN397_UKH2_10nM_B,TN397,D3-Homarine,78.0399,UKH2,10nM,B,78342152
230808_Smp_TN397_UKH2_10nM_C,TN397,D3-Homarine,78.0399,UKH2,10nM,C,63817200
230808_Smp_TN397_UKH2_50nM_A,TN397,D3-Homarine,78.0399,UKH2,50nM,A,207566528
230808_Smp_TN397_UKH2_50nM_B,TN397,D3-Homarine,78.0399,UKH2,50nM,B,216325792
230808_Smp_TN397_UKH2_50nM_Blk,TN397,D3-Homarine,78.0399,UKH2,50nM,Blk,14768423
230808_Smp_TN397_UKH2_50nM_C,TN397,D3-Homarine,78.0399,UKH2,50nM,C,236454544
230808_Smp_TN397_UKH2_200nM_A,TN397,D3-Homarine,78.0399,UKH2,200nM,A,290374528
230808_Smp_TN397_UKH2_200nM_B,TN397,D3-Homarine,78.0399,UKH2,200nM,B,359918784
230808_Smp_TN397_UKH2_200nM_C,TN397,D3-Homarine,78.0399,UKH2,200nM,C,331932544
230808_Smp_TN397_UKH2_1000nM_A,TN397,D3-Homarine,78.0399,UKH2,1000nM,A,674270400
230808_Smp_TN397_UKH2_1000nM_B,TN397,D3-Homarine,78.0399,UKH2,1000nM,B,680776192
230808_Smp_TN397_UKH2_1000nM_Blk,TN397,D3-Homarine,78.0399,UKH2,1000nM,Blk,309155072
230808_Smp_TN397_UKH2_1000nM_C,TN397,D3-Homarine,78.0399,UKH2,1000nM,C,892672320
230808_Smp_TN397_UKH3_0nM_A,TN397,D3-Homarine,78.0399,UKH3,0nM,A,933014
230808_Smp_TN397_UKH3_0nM_B,TN397,D3-Homarine,78.0399,UKH3,0nM,B,697627
230808_Smp_TN397_UKH3_0nM_C,TN397,D3-Homarine,78.0399,UKH3,0nM,C,572703
230808_Smp_TN397_UKH3_5nM_A,TN397,D3-Homarine,78.0399,UKH3,5nM,A,49103572
230808_Smp_TN397_UKH3_5nM_B,TN397,D3-Homarine,78.0399,UKH3,5nM,B,45086868
230808_Smp_TN397_UKH3_5nM_C,TN397,D3-Homarine,78.0399,UKH3,5nM,C,41051868
230808_Smp_TN397_UKH3_10nM_A,TN397,D3-Homarine,78.0399,UKH3,10nM,A,73181208
