SampID,date,type,cruise,exp,treatment,rep,Compound,Area,Fragment_mz
230607_Smp_TN397_UKH5_50nM_A,230607,Smp,TN397,UKH5,50nM,A,D3-Homarine,1063806464,78.0399
230607_Smp_TN397_UKH5_50nM_B,230607,Smp,TN397,UKH5,50nM,B,D3-Homarine,1070110016,78.0399
230607_Smp_TN397_UKH5_50nM_C,230607,Smp,TN397,UKH5,50nM,C,D3-Homarine,1289366656,78.0399
230607_Smp_TN397_UKH5_200nM_A,230607,Smp,TN397,UKH5,200nM,A,D3-Homarine,2573938944,78.0399
230607_Smp_TN397_UKH5_200nM_B,230607,Smp,TN397,UKH5,200nM,B,D3-Homarine,2611740672,78.0399
230607_Smp_TN397_UKH5_200nM_Blk,230607,Smp,TN397,UKH5,200nM,Blk,D3-Homarine,146496672,78.0399
230607_Smp_TN397_UKH5_200nM_C,230607,Smp,TN397,UKH5,200nM,C,D3-Homarine,2418186240,78.0399
230607_Smp_TN397_UKH5_1000nM_A,230607,Smp,TN397,UKH5,1000nM,A,D3-Homarine,4919056896,78.0399
230607_Smp_TN397_UKH5_1000nM_B,230607,Smp,TN397,UKH5,1000nM,B,D3-Homarine,5051148288,78.0399
230607_Smp_TN397_UKH5_1000nM_C,230607,Smp,TN397,UKH5,1000nM,C,D3-Homarine,5033154048,78.0399
230607_Smp_TN397_UKH5_0nM_A,230607,Smp,TN397,UKH5,OnM,A,D3-Homarine,6224180,78.0399
230607_Smp_TN397_UKH5_0nM_B,230607,Smp,TN397,UKH5,OnM,B,D3-Homarine,8266417,78.0399
230607_Smp_TN397_UKH5_0nM_C,230607,Smp,TN397,UKH5,OnM,C,D3-Homarine,5886392,78.0399
230808_Smp_TN397_UKH1_0nM_A,230808,Smp,TN397,UKH1,0nM,A,D3-Homarine,231636,97.0954
230808_Smp_TN397_UKH1_0nM_B,230808,Smp,TN397,UKH1,0nM,B,D3-Homarine,95768,97.0954
230808_Smp_TN397_UKH1_0nM_C,230808,Smp,TN397,UKH1,0nM,C,D3-Homarine,61749,97.0954
